cv,family,mean,std,median,IQR,p05,p95,span_01_99,entropy,BC,nw_k1200
c_heavy_s2_r08_b1.5,contact,0.31089406190431695,0.07866117092133333,0.3132480978965759,0.1174670159816742,0.1803371995687484,0.43602627217769624,0.32820831924676896,0.914753867241942,0.4276424592070969,9
c_heavy_s3_r012_b1.5,contact,0.6321096877347259,0.15635585212373646,0.657829999923706,0.23279812932014465,0.3387119174003601,0.8433398663997651,0.6316660270094872,0.9142205783168807,0.5183229505038023,18
c_sca_s2_r014_b3,contact,0.7485904693722499,0.13038955073941852,0.7655653953552246,0.195535808801651,0.5082309603691101,0.9342262268066407,0.5264593827724457,0.913143202211018,0.4886748299255324,15
c_sca_s3_r012_b1.5,contact,0.49636414034784954,0.15687026989046637,0.5002393126487732,0.23372147977352142,0.23755318969488137,0.7505049765110016,0.6659343963861465,0.9127518200213096,0.42135418795708024,19
c_sca_s3_r012_b3,contact,0.4969575187195643,0.16236107361487262,0.49980029463768,0.24389603734016418,0.23110484331846232,0.7616915047168732,0.6867675027251243,0.9122812550836017,0.42309131121861737,20
c_ca_s4_r012_b1.5,contact,0.7066053994970787,0.23005168296610204,0.7665168046951294,0.344026654958725,0.2525036752223968,0.9788066864013673,0.8599365976452829,0.9118381107428164,0.6007266967278858,25
cresb_ca_s4_r012_b1.5,contact resbal,0.7066053994594625,0.2300516827385694,0.7665168075334459,0.3440265676804952,0.252503704457056,0.9788067005929493,0.8599366020872479,0.9118381107428164,0.6007266964503348,25
c_heavy_s4_r08_b3,contact,0.17338057117431976,0.11013368241049191,0.1657739579677581,0.17054852470755574,0.01450256807729593,0.36549744904041287,0.43028113650158034,0.9108765141663371,0.48454679148084573,12
c_sca_s2_r012_b3,contact,0.5754704074161664,0.13415502749070124,0.5773409008979797,0.20058555901050573,0.3548009604215622,0.7948116481304168,0.5681104171276092,0.910150149580498,0.4213004069818593,16
c_sca_s2_r012_b6,contact,0.5764957980602037,0.13547098833576923,0.5782148241996765,0.20309111475944525,0.3544244319200516,0.7985653996467591,0.5729612898826599,0.9095100436619599,0.4219696348596463,17
c_bb_s4_r012_b1.5,contact,0.7170523507058567,0.22420754816907615,0.7808834314346313,0.33557602763175964,0.26839451789855956,0.9756540119647978,0.8331867381930351,0.9092061806113774,0.6162078923803475,24
cresb_bb_s4_r012_b1.5,contact resbal,0.7170523510095738,0.22420754822130656,0.7808833949800048,0.33557598833881686,0.2683945131532493,0.9756540342810608,0.8331867690969791,0.9092061806113774,0.6162078918036037,24
c_sca_s2_r012_b1.5,contact,0.5717756459769261,0.12959409772626787,0.574599027633667,0.19318817555904388,0.3565018713474274,0.7821613430976868,0.550244582891464,0.9087228315404292,0.4194246487513826,16
c_heavy_s4_r08_b6,contact,0.17094409421879378,0.11047902520013637,0.1621425598859787,0.17076817899942404,0.01277052015066144,0.3643377125263214,0.43178941666614257,0.9064941991020801,0.48671408805638117,12
restorpca_pc1,res-torsion PCA,-2.712671887695761e-16,1.0257388588401846,0.0168728098230561,1.5396099334964355,-1.7242672783291313,1.628751945511703,4.2177951786998396,0.9060360965830268,0.44056778103817695,126
c_ca_s3_r012_b1.5,contact,0.7771371107729553,0.17415958562144787,0.8225763440132141,0.259627103805542,0.43323963880538935,0.9830269575119018,0.6538958179950713,0.9041607263913171,0.5992165903197314,19
c_ca_s2_r012_b1.5,contact,0.8266106263131768,0.13546316148445273,0.8619520664215088,0.20194411277770996,0.5591215372085572,0.9867582321166993,0.5086262786388397,0.9041402240540549,0.5992152819596048,15
c_ca_s4_r08_b1.5,contact,0.24431297307966862,0.16150011823020932,0.2331362664699554,0.25864608585834503,0.01219590855762359,0.5246945202350617,0.6161227918951772,0.9024753117465422,0.4993016387827212,18
cresb_ca_s4_r08_b1.5,contact resbal,0.24431297286183926,0.16150011802156217,0.2331362863381703,0.2586460688284465,0.012195908313705732,0.5246945172548294,0.6161228192704064,0.9024753117465422,0.4993016405588224,18
sasa_total,SASA/burial,13.715105973450443,0.9255143644497229,13.649351,1.3712210000000002,12.2897459,15.3053736,3.8920400500000003,0.9004815426430804,0.42835151518930475,116
restorpca_pc3,res-torsion PCA,-6.808274541667793e-17,0.935569595598548,0.0198783952583989,1.3078367047874737,-1.5579426996128516,1.4974139700352942,4.247725396842679,0.8987292694088164,0.38122577382239886,127
cresb_sca_s4_r010_b1.5,contact resbal,0.2858784661896053,0.15530409755051755,0.2806392179192676,0.22953234527628005,0.040589813279378925,0.5511150864152422,0.6535748992630817,0.8981066971848334,0.42026349071746305,19
