cv,family,mean,std,skew,exkurt,min,p05,median,p95,max,IQR,span_p05_95,span_p01_99,entropy,eff_states,BC,nw_k1200,nw_k250
c_bb_s4_r012_b3,contact,0.6945471344241485,0.24019279764572501,-0.6593946299250182,-0.5868691128899273,0.0620891489088535,0.2363687619566917,0.7519108653068542,0.9851185768842697,0.9998937249183656,0.3690727800130844,0.748749814927578,0.884342973008752,0.9337335399343405,16.398923631999573,0.5934553625992915,26,12
c_sca_s4_r014_b3,contact,0.6180941314913976,0.20893096082857204,-0.48819670739927595,-0.5515547742991611,0.022395858541131,0.2340585798025131,0.6470822989940643,0.9110807985067367,0.9939298033714294,0.3084920644760132,0.6770222187042236,0.8351706874370575,0.9333952804097495,16.382314445892437,0.5048206984537635,24,11
c_bb_s2_r08_b1.5,contact,0.44392472347481,0.12073827951741994,0.11196498808903597,-0.7871678744844539,0.1836350709199905,0.2576090008020401,0.44207270443439484,0.6407442718744278,0.7711053490638733,0.18296486139297485,0.38313527107238776,0.482543083280325,0.9322871007686853,16.328018458541568,0.4566304341156415,14,6
c_bb_s3_r012_b1.5,contact,0.7565594762714987,0.17814465750530484,-0.6862937182604173,-0.4862079187113588,0.2603470385074615,0.4162154093384743,0.7965295314788818,0.9748732089996338,0.9960857033729552,0.27034981548786163,0.5586577996611595,0.6774139329791071,0.9322576976686247,16.326580287712098,0.5841079866592555,20,9
c_ca_s3_r08_b6,contact,0.27429875926898944,0.15162785354466587,0.21403407360797305,-0.7249214780567956,1.9084129689872498e-06,0.03824808951467269,0.2677366882562637,0.5197524517774582,0.7185638546943665,0.23801749199628833,0.48150436226278553,0.6185648203111487,0.9322319661447909,16.32532180575334,0.45875831202956374,18,8
c_bb_s2_r012_b1.5,contact,0.8104181534293945,0.13864451942638611,-0.6867515584135009,-0.48482577243034797,0.423733115196228,0.5452820479869842,0.8414255082607269,0.980206561088562,0.996867835521698,0.2104417681694032,0.43492451310157776,0.5274047243595124,0.9318801592490678,16.30812529794481,0.5840370719310186,15,7
c_ca_s2_r08_b6,contact,0.43533492867414114,0.11797374883710858,0.21340283477266353,-0.7252606189360575,0.2215866595506668,0.25173165947198867,0.4304331243038177,0.6263800889253617,0.7809633016586304,0.1850578784942627,0.374648429453373,0.481056971102953,0.9317648366035701,16.302492208888033,0.45870819563659393,14,6
c_heavy_s3_r08_b3,contact,0.20911841149805918,0.0958677432737482,0.12305537919860866,-0.610641881720674,0.0103692449629306,0.05491427369415757,0.20846586674451825,0.37186267077922813,0.4821829795837402,0.1434313729405403,0.31694839708507055,0.40288797738030524,0.9307424821858635,16.252638945742966,0.4240478064225702,12,5
c_heavy_s3_r08_b6,contact,0.20683142268548005,0.0963954941385578,0.13300984440949637,-0.6085484226340729,0.0086109368130564,0.052330906316637955,0.20546152442693705,0.37036271542310706,0.481937438249588,0.14493003487586978,0.3180318091064691,0.4063848350569605,0.9306973485641272,16.25044160347054,0.424741147957805,12,5
c_bb_s3_r08_b3,contact,0.31744687328313664,0.1544878088250337,0.23571310573146528,-0.7703811795242492,0.0244618095457553,0.08940103314816944,0.3111482858657837,0.5782080978155135,0.7690657377243042,0.23799689859151846,0.4888070646673441,0.6115733723342418,0.9302119648469699,16.22682933798049,0.4724568021839551,18,8
c_heavy_s3_r012_b3,contact,0.6198821978520621,0.15935425570913572,-0.5010807593701507,-0.5236592779537133,0.1820760369300842,0.31673436611890793,0.6481107473373413,0.840055826306343,0.9365134239196776,0.23848871886730194,0.5233214601874351,0.6451297251880169,0.9301474855038506,16.22369522010005,0.5042820582423905,19,8
